contrast,Duplication,Layer,estimate,SE,df,t.ratio,p.value
Homogeneous - Uniform,4,GC,-16.0639880952331,0.860475202517394,440.999999999895,-18.6687403056317,0
Homogeneous - Scaled,4,GC,-22.2023809523757,0.860475202517393,440.999999999924,-25.8024646002822,0
Homogeneous - Adaptive,4,GC,-22.0163690476142,0.860475202517394,440.99999999991,-25.5862911368084,0
Uniform - Scaled,4,GC,-6.13839285714263,0.860475202517395,440.999999999966,-7.13372429465047,2.55417909045264e-12
Uniform - Adaptive,4,GC,-5.95238095238116,0.860475202517396,440.999999999966,-6.91755083117672,7.5747297323403e-11
Scaled - Adaptive,4,GC,0.186011904761466,0.860475202517395,440.999999999966,0.216173463473755,0.996428897623739
Homogeneous - Uniform,8,GC,-26.7745535714287,0.860475202517396,440.999999999966,-31.1160083324859,0
Homogeneous - Scaled,8,GC,-26.1793154761906,0.860475202517395,440.999999999966,-30.4242532493682,0
Homogeneous - Adaptive,8,GC,-25.4724702380954,0.860475202517397,440.999999999966,-29.6027940881659,0
Uniform - Scaled,8,GC,0.595238095238103,0.860475202517395,440.99999999998,0.691755083117656,0.900230925391618
Uniform - Adaptive,8,GC,1.30208333333337,0.860475202517397,440.99999999998,1.51321424431989,0.430396696763386
Scaled - Adaptive,8,GC,0.706845238095265,0.860475202517396,440.99999999998,0.821459161202236,0.84431254673782
Homogeneous - Uniform,16,GC,-28.8690476190483,0.860475202517395,440.999999999966,-33.5501215312067,0
Homogeneous - Scaled,16,GC,-28.0877976190483,0.860475202517396,440.999999999966,-32.6421929846148,0
Homogeneous - Adaptive,16,GC,-27.5669642857149,0.860475202517396,440.999999999966,-32.0369072868868,0
Uniform - Scaled,16,GC,0.781249999999972,0.860475202517396,440.999999999994,0.907928546591879,0.800633047591831
Uniform - Adaptive,16,GC,1.30208333333337,0.860475202517395,440.999999999994,1.51321424431989,0.430396696763386
Scaled - Adaptive,16,GC,0.520833333333393,0.860475202517396,440.999999999994,0.605285697728011,0.930375031963111
Homogeneous - Uniform,32,GC,-28.8839285714293,0.860475202517396,440.999999999966,-33.5674154082847,0
Homogeneous - Scaled,32,GC,-27.5446428571435,0.860475202517395,440.999999999966,-32.0109664712699,0
Homogeneous - Adaptive,32,GC,-28.5863095238103,0.860475202517396,440.999999999966,-33.2215378667259,0
Uniform - Scaled,32,GC,1.33928571428576,0.860475202517397,440.99999999998,1.55644893701476,0.40478545711267
Uniform - Adaptive,32,GC,0.297619047619017,0.860475202517397,440.99999999998,0.345877541558787,0.985767159729874
Scaled - Adaptive,32,GC,-1.04166666666675,0.860475202517397,440.99999999998,-1.21057139545597,0.620449130313097
Homogeneous - Uniform,4,MC,-15.7068452380955,0.860475202517395,440.999999999895,-18.2536872557672,0
Homogeneous - Scaled,4,MC,-20.9151785714286,0.860475202517394,440.999999999895,-24.3065442330464,0
Homogeneous - Adaptive,4,MC,-20.1711309523811,0.860475202517395,440.999999999895,-23.4418503791494,0
Uniform - Scaled,4,MC,-5.20833333333316,0.860475202517394,440.999999999966,-6.05285697727922,1.82240592616623e-08
Uniform - Adaptive,4,MC,-4.46428571428562,0.860475202517395,440.999999999966,-5.18816312338225,1.93604288611926e-06
Scaled - Adaptive,4,MC,0.74404761904754,0.860475202517395,440.999999999952,0.864693853896968,0.823056834750585
Homogeneous - Uniform,8,MC,-22.9464285714286,0.860475202517394,440.999999999966,-26.6671584541854,0
Homogeneous - Scaled,8,MC,-26.6666666666667,0.860475202517397,440.999999999966,-30.9906277236706,0
Homogeneous - Adaptive,8,MC,-23.6160714285715,0.860475202517397,440.999999999966,-27.4453829226927,0
Uniform - Scaled,8,MC,-3.7202380952381,0.860475202517396,440.99999999998,-4.3234692694853,0.000111582040550617
Uniform - Adaptive,8,MC,-0.669642857142894,0.860475202517395,440.999999999994,-0.778224468507397,0.864309676165084
Scaled - Adaptive,8,MC,3.05059523809521,0.8604752025174,440.99999999998,3.54524480097789,0.00244348065632305
Homogeneous - Uniform,16,MC,-26.9568452380952,0.860475202517396,440.999999999966,-31.3278583266904,0
Homogeneous - Scaled,16,MC,-25.5431547619047,0.860475202517396,440.999999999966,-29.684940004286,0
Homogeneous - Adaptive,16,MC,-25.766369047619,0.860475202517394,440.999999999966,-29.9443481604552,0
Uniform - Scaled,16,MC,1.41369047619048,0.860475202517395,440.99999999998,1.64291832240442,0.355621577834319
Uniform - Adaptive,16,MC,1.19047619047617,0.860475202517394,441.000000000008,1.38351016623528,0.510361743066513
Scaled - Adaptive,16,MC,-0.223214285714309,0.860475202517394,440.99999999998,-0.259408156169145,0.993876629091368
Homogeneous - Uniform,32,MC,-25.014880952381,0.860475202517396,440.999999999952,-29.0710073680191,0
Homogeneous - Scaled,32,MC,-25.2752976190477,0.860475202517397,440.999999999952,-29.3736502168831,0
Homogeneous - Adaptive,32,MC,-25.5357142857143,0.860475202517395,440.999999999966,-29.6762930657471,0
Uniform - Scaled,32,MC,-0.260416666666702,0.860475202517398,440.99999999998,-0.30264284886401,0.990364532146554
Uniform - Adaptive,32,MC,-0.520833333333334,0.860475202517395,440.999999999994,-0.605285697727942,0.930375031963133
Scaled - Adaptive,32,MC,-0.260416666666632,0.860475202517397,440.99999999998,-0.30264284886393,0.990364532146562
