contrast,Condition,Layer,estimate,SE,df,t.ratio,p.value
Duplication8 - Duplication4,Homogeneous,GC,0.784970238090433,0.860475202517394,440.999999999895,0.912252015855815,0.694108086145561
Duplication16 - Duplication8,Homogeneous,GC,0.249255952380492,0.860475202517395,440.999999999966,0.28967244105498,0.983673825909224
Duplication32 - Duplication16,Homogeneous,GC,0.0223214285713724,0.860475202517395,440.999999999966,0.0259408156168465,0.999987446050796
Duplication8 - Duplication4,Uniform,GC,11.4955357142861,0.860475202517396,440.999999999966,13.35952004271,0
Duplication16 - Duplication8,Uniform,GC,2.34375000000004,0.860475202517395,440.99999999998,2.72378563977579,0.0187883894856506
Duplication32 - Duplication16,Uniform,GC,0.0372023809523942,0.860475202517395,440.999999999994,0.0432346926948684,0.999941937723361
Duplication8 - Duplication4,Scaled,GC,4.76190476190537,0.860475202517396,440.999999999966,5.53404066494188,1.16328894184115e-07
Duplication16 - Duplication8,Scaled,GC,2.15773809523817,0.860475202517397,440.99999999998,2.50761217630156,0.0343602329101428
Duplication32 - Duplication16,Scaled,GC,-0.520833333333397,0.860475202517397,440.99999999998,-0.605285697728014,0.879509285876056
Duplication8 - Duplication4,Adaptive,GC,4.24107142857157,0.860475202517396,440.999999999966,4.9287549672134,3.03696106684903e-06
Duplication16 - Duplication8,Adaptive,GC,2.34375000000004,0.860475202517395,440.99999999998,2.72378563977579,0.0191034260150131
Duplication32 - Duplication16,Adaptive,GC,1.04166666666674,0.860475202517397,440.99999999998,1.21057139545597,0.490582187575215
Duplication8 - Duplication4,Homogeneous,MC,-0.282738095237958,0.860475202517395,440.999999999881,-0.328583664480724,0.976624720760365
Duplication16 - Duplication8,Homogeneous,MC,0.11904761904772,0.860475202517395,440.999999999966,0.138351016623647,0.998124634689698
Duplication32 - Duplication16,Homogeneous,MC,0.193452380952311,0.860475202517395,440.999999999952,0.224820402013154,0.99215827990709
Duplication8 - Duplication4,Uniform,MC,6.95684523809521,0.860475202517397,440.999999999966,8.08488753393745,1.18793863634892e-14
Duplication16 - Duplication8,Uniform,MC,4.12946428571429,0.860475202517398,440.99999999998,4.79905088912867,8.97547431355505e-06
Duplication32 - Duplication16,Uniform,MC,-1.74851190476191,0.860475202517398,440.99999999998,-2.03203055665809,0.11214144781483
Duplication8 - Duplication4,Scaled,MC,5.46875000000015,0.860475202517397,440.999999999966,6.35549982614355,1.04583897098109e-09
Duplication16 - Duplication8,Scaled,MC,-1.00446428571429,0.860475202517399,440.99999999998,-1.16733670276103,0.519525991055776
Duplication32 - Duplication16,Scaled,MC,-0.0744047619047302,0.860475202517398,440.99999999998,-0.0864693853896687,0.99953766250479
Duplication8 - Duplication4,Adaptive,MC,3.16220238095248,0.860475202517396,440.999999999966,3.67494887906261,0.000711872739884711
Duplication16 - Duplication8,Adaptive,MC,2.26934523809523,0.860475202517395,440.999999999994,2.63731625438602,0.0237694438513918
Duplication32 - Duplication16,Adaptive,MC,-0.0372023809524071,0.860475202517395,440.999999999994,-0.0432346926948834,0.999941936674904
