Layer,Session,Condition,Duplication,Accuracy.m,Accuracy.s
GC,Concentration,Homogeneous,4,79.9404761904762,0.947051414443939
GC,Concentration,Homogeneous,8,81.5997023809524,1.54317700424802
GC,Concentration,Homogeneous,16,81.3913690476191,1.56257086007124
GC,Concentration,Homogeneous,32,81.8154761904762,1.09756481634439
GC,Concentration,Uniform,4,87.0535714285714,4.51921983428477
GC,Concentration,Uniform,8,95.5357142857143,2.96767489228148
GC,Concentration,Uniform,16,97.1726190476191,2.45938007890809
GC,Concentration,Uniform,32,97.6190476190476,1.55869921597137
GC,Concentration,Scaled,4,87.2767857142857,2.88003689001587
GC,Concentration,Scaled,8,93.452380952381,2.86351330620455
GC,Concentration,Scaled,16,96.5773809523809,3.12955207815951
GC,Concentration,Scaled,32,97.0238095238095,1.68358757425369
GC,Concentration,Adaptive,4,90.4761904761905,3.88373715873103
GC,Concentration,Adaptive,8,92.1875,3.56344771548444
GC,Concentration,Adaptive,16,96.6517857142857,2.75426863392207
GC,Concentration,Adaptive,32,97.7678571428571,2.54036891943702
GC,Saturation,Homogeneous,4,56.7559523809524,0.97288722686827
GC,Saturation,Homogeneous,8,56.6666666666667,0.765589516690297
GC,Saturation,Homogeneous,16,57.3735119047619,1.09036436872825
GC,Saturation,Homogeneous,32,56.9940476190476,0.829681014806154
GC,Saturation,Uniform,4,81.7708333333333,4.33850587414085
GC,Saturation,Uniform,8,96.2797619047619,3.72066324101346
GC,Saturation,Uniform,16,99.3303571428571,1.25010122686983
GC,Saturation,Uniform,32,98.9583333333333,1.64557844220779
GC,Saturation,Scaled,4,93.8244047619048,4.63191519816374
GC,Saturation,Scaled,8,97.1726190476191,3.496232179902
GC,Saturation,Scaled,16,98.3630952380952,1.41397016567312
GC,Saturation,Scaled,32,96.875,2.00597382858596
GC,Saturation,Adaptive,4,90.2529761904762,3.81718908880377
GC,Saturation,Adaptive,8,97.0238095238095,3.45619071988121
GC,Saturation,Adaptive,16,97.2470238095238,3.29019554165098
GC,Saturation,Adaptive,32,98.2142857142857,2.22717701593687
MC,Concentration,Homogeneous,4,83.7574404761905,0.914110702407137
MC,Concentration,Homogeneous,8,83.3482142857143,1.07036511849017
MC,Concentration,Homogeneous,16,83.5863095238095,0.937786777215678
MC,Concentration,Homogeneous,32,83.7946428571429,0.935625352786815
MC,Concentration,Uniform,4,87.2023809523809,3.14970394174356
MC,Concentration,Uniform,8,95.2380952380952,2.11048871530456
MC,Concentration,Uniform,16,97.0982142857143,2.04811090042679
MC,Concentration,Uniform,32,97.9166666666667,1.31184086909367
MC,Concentration,Scaled,4,88.9136904761905,3.0507248603621
MC,Concentration,Scaled,8,95.3125,1.72626377981818
MC,Concentration,Scaled,16,94.6428571428571,1.59084072566919
MC,Concentration,Scaled,32,95.3125,2.0232467204642
MC,Concentration,Adaptive,4,92.6339285714286,3.52775880688384
MC,Concentration,Adaptive,8,91.5178571428572,3.82794758345148
MC,Concentration,Adaptive,16,96.9494047619048,1.69668962068324
MC,Concentration,Adaptive,32,95.3125,2.97512736114452
MC,Saturation,Homogeneous,4,58.6383928571429,1.15044845377825
MC,Saturation,Homogeneous,8,58.4821428571429,1.3651601120452
MC,Saturation,Homogeneous,16,58.4821428571429,1.16425197842141
MC,Saturation,Homogeneous,32,58.6607142857143,1.25827355871387
MC,Saturation,Uniform,4,86.6071428571429,3.22905400442986
MC,Saturation,Uniform,8,92.485119047619,1.62039447280267
MC,Saturation,Uniform,16,98.8839285714286,1.32861394489794
MC,Saturation,Uniform,32,94.5684523809524,5.22258739478909
MC,Saturation,Scaled,4,95.3125,2.34750098018293
MC,Saturation,Scaled,8,99.8511904761905,0.275541696360882
MC,Saturation,Scaled,16,98.5119047619048,1.14717156149932
MC,Saturation,Scaled,32,97.6934523809524,4.20219907682974
MC,Saturation,Adaptive,4,90.1041666666667,4.17197790740362
MC,Saturation,Adaptive,8,97.5446428571429,2.61280757873071
MC,Saturation,Adaptive,16,96.6517857142857,2.89755818861851
MC,Saturation,Adaptive,32,98.2142857142857,2.71842982366425
