model.term,df1,df2,F.ratio,p.value
Layer,1,441,476.183,3.96305556138174e-72
Condition,3,441,559.527,6.8403554586999e-150
Duplication,3,441,91.858,3.40888345542054e-46
Session,1,441,177.808,2.56167620505232e-34
Layer:Condition,3,441,17.085,1.63219364152819e-10
Layer:Duplication,3,441,3.314,0.0199558894138793
Layer:Session,1,441,22.519,2.81648552040241e-06
Condition:Duplication,9,441,21.523,3.12160379962073e-30
Condition:Session,3,441,44.078,6.25656723321129e-25
Duplication:Session,3,441,2.041,0.107374497230754
Layer:Condition:Duplication,9,441,3.765,0.00013880778846047
Layer:Condition:Session,3,441,4.683,0.00312120957748287
Layer:Duplication:Session,3,441,4.212,0.00592960708235977
Condition:Duplication:Session,9,441,8.261,2.14030550424892e-11
Layer:Condition:Duplication:Session,9,441,2.721,0.00427463113073923
