contrast,Duplication,Layer,estimate,SE,df,t.ratio,p.value
Homogeneous - Uniform,4,GC,10.4663046056266,0.716147151523837,440.999999999881,14.6147402574403,0
Homogeneous - Scaled,4,GC,2.1892107752952,0.716147151523834,440.999999999881,3.0569286921507,0.0126447092304142
Homogeneous - Adaptive,4,GC,-4.10713669344144,0.716147151523836,440.999999999867,-5.73504577195088,1.08455520675399e-07
Uniform - Scaled,4,GC,-8.27709383033139,0.716147151523837,440.99999999998,-11.5578115652896,0
Uniform - Adaptive,4,GC,-14.573441299068,0.716147151523837,440.999999999966,-20.3497860293911,0
Scaled - Adaptive,4,GC,-6.29634746873665,0.716147151523837,440.999999999966,-8.79197446410157,0
Homogeneous - Uniform,8,GC,10.0612189214605,0.716147151523837,440.99999999998,14.0490943796286,0
Homogeneous - Scaled,8,GC,6.79029673607089,0.716147151523838,440.99999999998,9.48170598964516,0
Homogeneous - Adaptive,8,GC,2.79702186468859,0.716147151523837,440.99999999998,3.90565243293506,0.000626948524427795
Uniform - Scaled,8,GC,-3.27092218538965,0.716147151523837,440.999999999994,-4.5673883899834,3.79242805450541e-05
Uniform - Adaptive,8,GC,-7.26419705677196,0.716147151523836,440.999999999994,-10.1434419466935,0
Scaled - Adaptive,8,GC,-3.9932748713823,0.716147151523837,440.999999999994,-5.5760535567101,2.56930229980412e-07
Homogeneous - Uniform,16,GC,10.7824071172446,0.716147151523837,440.99999999998,15.0561334975662,0
Homogeneous - Scaled,16,GC,8.2959282968895,0.716147151523837,440.99999999998,11.5841112810924,0
Homogeneous - Adaptive,16,GC,5.08208269086524,0.716147151523837,440.999999999994,7.09642240432214,9.19897491513666e-12
Uniform - Scaled,16,GC,-2.48647882035513,0.716147151523837,440.999999999994,-3.47202221647372,0.00317330983433284
Uniform - Adaptive,16,GC,-5.70032442637939,0.716147151523837,441.000000000008,-7.95971109324403,0
Scaled - Adaptive,16,GC,-3.21384560602426,0.716147151523836,440.999999999994,-4.48768887677031,5.42657447551997e-05
Homogeneous - Uniform,32,GC,10.2183378331034,0.716147151523838,440.99999999998,14.2684891105977,0
Homogeneous - Scaled,32,GC,8.71384408520773,0.716147151523837,440.99999999998,12.1676726168165,0
Homogeneous - Adaptive,32,GC,5.77443565176921,0.716147151523837,440.99999999998,8.06319712294074,0
Uniform - Scaled,32,GC,-1.5044937478957,0.716147151523838,440.999999999994,-2.1008164937812,0.15441810049639
Uniform - Adaptive,32,GC,-4.44390218133421,0.716147151523838,440.999999999994,-6.20529198765694,7.52837381323701e-09
Scaled - Adaptive,32,GC,-2.93940843343851,0.716147151523837,441.000000000008,-4.10447549387575,0.000281196606890188
Homogeneous - Uniform,4,MC,8.16258212403248,0.716147151523837,441.000000000008,11.3979118769989,0
Homogeneous - Scaled,4,MC,3.22065977123255,0.716147151523837,441.000000000008,4.49720391176526,5.20084135711141e-05
Homogeneous - Adaptive,4,MC,1.87992575270353,0.716147151523837,441.000000000008,2.62505512826991,0.0442430494786592
Uniform - Scaled,4,MC,-4.94192235279993,0.716147151523837,440.999999999994,-6.90070796523365,8.67573790586107e-11
Uniform - Adaptive,4,MC,-6.28265637132895,0.716147151523837,440.999999999994,-8.77285674872901,0
Scaled - Adaptive,4,MC,-1.34073401852902,0.716147151523837,440.999999999994,-1.87214878349536,0.241571660339191
Homogeneous - Uniform,8,MC,9.46135269548082,0.716147151523838,440.999999999994,13.2114645367906,0
Homogeneous - Scaled,8,MC,7.54442420760383,0.716147151523836,441.000000000008,10.5347402297846,0
Homogeneous - Adaptive,8,MC,4.93876203115525,0.716147151523838,440.999999999994,6.8962950151326,8.98386920411554e-11
Uniform - Scaled,8,MC,-1.91692848787699,0.716147151523837,440.999999999994,-2.67672430700604,0.0384817300523131
Uniform - Adaptive,8,MC,-4.52259066432557,0.716147151523839,440.999999999994,-6.31516952165804,3.93219101724185e-09
Scaled - Adaptive,8,MC,-2.60566217644858,0.716147151523837,440.999999999994,-3.63844521465202,0.0017390773536069
Homogeneous - Uniform,16,MC,9.94786557919495,0.716147151523836,441.000000000008,13.8908121857744,0
Homogeneous - Scaled,16,MC,8.28913141772118,0.716147151523838,441.000000000008,11.5746203836507,0
Homogeneous - Adaptive,16,MC,6.35743607420086,0.716147151523836,441.000000000008,8.87727621435531,0
Uniform - Scaled,16,MC,-1.65873416147378,0.716147151523838,440.999999999994,-2.31619180212373,0.095888885872273
Uniform - Adaptive,16,MC,-3.5904295049941,0.716147151523835,441.000000000008,-5.01353597141913,4.6182196919986e-06
Scaled - Adaptive,16,MC,-1.93169534352032,0.716147151523838,440.999999999994,-2.69734416929538,0.0363687781931794
Homogeneous - Uniform,32,MC,10.1695489106578,0.716147151523837,441.000000000008,14.2003621588368,0
Homogeneous - Scaled,32,MC,8.69077734562083,0.716147151523838,440.999999999994,12.135463119735,0
Homogeneous - Adaptive,32,MC,6.59267157839497,0.716147151523837,440.999999999994,9.20574991378087,0
Uniform - Scaled,32,MC,-1.47877156503699,0.716147151523837,441.000000000008,-2.0648990391017,0.166330191874788
Uniform - Adaptive,32,MC,-3.57687733226285,0.716147151523836,441.000000000008,-4.9946122450559,5.06680184320096e-06
Scaled - Adaptive,32,MC,-2.09810576722586,0.716147151523837,441.000000000008,-2.92971320595419,0.0186589417750316
