Layer,Session,Condition,Duplication,Utilization.m,Utilization.s
GC,Concentration,Homogeneous,4,11.6864796009898,3.65121925084762
GC,Concentration,Homogeneous,8,11.1998716498277,3.23680018042204
GC,Concentration,Homogeneous,16,11.174778394175,3.07444454223316
GC,Concentration,Homogeneous,32,11.2567832151365,3.11794669986395
GC,Concentration,Uniform,4,3.87944976345525,1.32195928596387
GC,Concentration,Uniform,8,3.94254223610003,0.916368665594993
GC,Concentration,Uniform,16,3.31306946306976,1.50852385816561
GC,Concentration,Uniform,32,4.55580992121701,1.5538561092037
GC,Concentration,Scaled,4,11.0542651205659,3.90230217803539
GC,Concentration,Scaled,8,6.51756927431206,2.27642365014914
GC,Concentration,Scaled,16,5.47890989699595,1.98343532988325
GC,Concentration,Scaled,32,5.26308882642273,1.5503177773135
GC,Concentration,Adaptive,4,22.7729005776063,6.13162272705228
GC,Concentration,Adaptive,8,10.2783536612527,4.27289239180837
GC,Concentration,Adaptive,16,7.20196575104497,1.91802742331239
GC,Concentration,Adaptive,32,6.40080271823212,1.67592572059699
GC,Saturation,Homogeneous,4,16.9932849034824,0.840534858512884
GC,Saturation,Homogeneous,8,16.8270980355891,0.710959864951623
GC,Saturation,Homogeneous,16,16.7836085338076,0.678076915713321
GC,Saturation,Homogeneous,32,16.7494453185422,0.763515634912929
GC,Saturation,Uniform,4,3.86770552976451,0.676724556422294
GC,Saturation,Uniform,8,3.96198960639566,1.07108240704685
GC,Saturation,Uniform,16,3.08050323042362,1.10817767696972
GC,Saturation,Uniform,32,3.01374294625489,1.13587325479142
GC,Saturation,Scaled,4,13.2470778333167,4.22050449096716
GC,Saturation,Scaled,8,7.92880693896293,1.76591879513336
GC,Saturation,Scaled,16,5.88762043720769,1.42171617153094
GC,Saturation,Scaled,32,5.31545153684057,1.53849565840209
GC,Saturation,Adaptive,4,14.1211373137496,7.69826756805727
GC,Saturation,Adaptive,8,12.1545722947869,4.24291898081806
GC,Saturation,Adaptive,16,10.5922557952072,3.26674987408917
GC,Saturation,Adaptive,32,10.0565545119082,2.68044730439662
MC,Concentration,Homogeneous,4,7.82414809733805,0.0744578128373805
MC,Concentration,Homogeneous,8,7.82414546916327,0.0743982947548655
MC,Concentration,Homogeneous,16,7.82414809733805,0.0744578128373805
MC,Concentration,Homogeneous,32,7.82414809733805,0.0744578128373805
MC,Concentration,Uniform,4,2.24496754813064,0.0306758234989434
MC,Concentration,Uniform,8,0.96036740702663,0.0211034701249928
MC,Concentration,Uniform,16,0.737411468950517,0.0104113305386758
MC,Concentration,Uniform,32,0.591543629548595,0.00640945634255244
MC,Concentration,Scaled,4,4.50379978381234,0.0782816262618428
MC,Concentration,Scaled,8,1.76120072223633,0.0627339020612621
MC,Concentration,Scaled,16,1.20562968353467,0.0617719460056541
MC,Concentration,Scaled,32,0.933814636349869,0.0709078399862094
MC,Concentration,Adaptive,4,7.71965082650229,0.416014398846528
MC,Concentration,Adaptive,8,3.55117731131311,0.230092823604182
MC,Concentration,Adaptive,16,2.30149117126834,0.198062336200491
MC,Concentration,Adaptive,32,2.06547644426592,0.131475482261742
MC,Saturation,Homogeneous,4,13.553840038136,0.0162015835724145
MC,Saturation,Homogeneous,8,13.553840038136,0.0162015835724145
MC,Saturation,Homogeneous,16,13.553840038136,0.0162015835724145
MC,Saturation,Homogeneous,32,13.553840038136,0.0162015835724145
MC,Saturation,Uniform,4,2.80785633927828,0.0501815084606198
MC,Saturation,Uniform,8,1.49491270931102,0.0406917472005399
MC,Saturation,Uniform,16,0.744845508133653,0.0226114068206703
MC,Saturation,Uniform,32,0.447346684609842,0.0178359723620206
MC,Saturation,Scaled,4,10.4328688091964,0.274201495349119
MC,Saturation,Scaled,8,4.52793636985529,0.123755744514424
MC,Saturation,Scaled,16,3.59409561649704,0.053574453914608
MC,Saturation,Scaled,32,3.06261880788254,0.0616405754198645
MC,Saturation,Adaptive,4,9.89848580356453,1.49251094669951
MC,Saturation,Adaptive,8,7.94928413367566,0.750913344052388
MC,Saturation,Adaptive,16,6.36162481580401,0.830858087822323
MC,Saturation,Adaptive,32,6.1271685344182,0.647673309712298
