Duplication,Condition,Layer,Utilization.m,Utilization.s
4,Homogeneous,GC,14.3398822522361,3.7497914265303
4,Homogeneous,MC,10.688994067737,2.95925806181437
4,Uniform,GC,3.87357764660988,1.01453697357226
4,Uniform,MC,2.52641194370446,0.293438181379503
4,Scaled,GC,12.1506714769413,4.08671060472537
4,Scaled,MC,7.46833429650439,3.06794871037646
4,Adaptive,GC,18.4470189456779,8.07231018568796
4,Adaptive,MC,8.80906831503341,1.54475210031767
8,Homogeneous,GC,14.0134848427084,3.68364930061934
8,Homogeneous,MC,10.6889927536496,2.95925872021888
8,Uniform,GC,3.95226592124784,0.962986887367736
8,Uniform,MC,1.22764005816883,0.2778084404727
8,Scaled,GC,7.22318810663749,2.09873586977594
8,Scaled,MC,3.14456854604581,1.43187666514029
8,Adaptive,GC,11.2164629780198,4.22611390863683
8,Adaptive,MC,5.75023072249439,2.33368191759858
16,Homogeneous,GC,13.9791934639913,3.60758353998199
16,Homogeneous,MC,10.688994067737,2.95925806181437
16,Uniform,GC,3.19678634674669,1.28432244577938
16,Uniform,MC,0.741128488542085,0.0174332257643722
16,Scaled,GC,5.68326516710182,1.68038141075714
16,Scaled,MC,2.39986265001586,1.23466270750804
16,Adaptive,GC,8.89711077312608,3.12441625363055
16,Adaptive,MC,4.33155799353617,2.17632132743626
32,Homogeneous,GC,14.0031142668394,3.58523994700867
32,Homogeneous,MC,10.688994067737,2.95925806181437
32,Uniform,GC,3.78477643373595,1.537197021302
32,Uniform,MC,0.519445157079218,0.0755801812662645
32,Scaled,GC,5.28927018163165,1.49229456709689
32,Scaled,MC,1.99821672211621,1.10118182510449
32,Adaptive,GC,8.22867861507016,2.86836490142733
32,Adaptive,MC,4.09632248934206,2.1454872977278
