Layer,Session,Condition,Duplication,Accuracy.m,Accuracy.s
GC,Concentration,Homogeneous,4,79.9404761904762,0.947051414443939
GC,Concentration,Homogeneous,8,81.5997023809524,1.54317700424802
GC,Concentration,Homogeneous,16,81.3913690476191,1.56257086007124
GC,Concentration,Homogeneous,32,81.8154761904762,1.09756481634439
GC,Concentration,Uniform,4,87.0535714285714,4.51921983428477
GC,Concentration,Uniform,8,95.5357142857143,2.96767489228148
GC,Concentration,Uniform,16,97.1726190476191,2.45938007890809
GC,Concentration,Uniform,32,97.6190476190476,1.55869921597137
GC,Saturation,Homogeneous,4,56.7559523809524,0.97288722686827
GC,Saturation,Homogeneous,8,56.6666666666667,0.765589516690297
GC,Saturation,Homogeneous,16,57.3735119047619,1.09036436872825
GC,Saturation,Homogeneous,32,56.9940476190476,0.829681014806154
GC,Saturation,Uniform,4,81.7708333333333,4.33850587414085
GC,Saturation,Uniform,8,96.2797619047619,3.72066324101346
GC,Saturation,Uniform,16,99.3303571428571,1.25010122686983
GC,Saturation,Uniform,32,98.9583333333333,1.64557844220779
MC,Concentration,Homogeneous,4,83.7574404761905,0.914110702407137
MC,Concentration,Homogeneous,8,83.3482142857143,1.07036511849017
MC,Concentration,Homogeneous,16,83.5863095238095,0.937786777215678
MC,Concentration,Homogeneous,32,83.7946428571429,0.935625352786815
MC,Concentration,Uniform,4,87.2023809523809,3.14970394174356
MC,Concentration,Uniform,8,95.2380952380952,2.11048871530456
MC,Concentration,Uniform,16,97.0982142857143,2.04811090042679
MC,Concentration,Uniform,32,97.9166666666667,1.31184086909367
MC,Saturation,Homogeneous,4,58.6383928571429,1.15044845377825
MC,Saturation,Homogeneous,8,58.4821428571429,1.3651601120452
MC,Saturation,Homogeneous,16,58.4821428571429,1.16425197842141
MC,Saturation,Homogeneous,32,58.6607142857143,1.25827355871387
MC,Saturation,Uniform,4,86.6071428571429,3.22905400442986
MC,Saturation,Uniform,8,92.485119047619,1.62039447280267
MC,Saturation,Uniform,16,98.8839285714286,1.32861394489794
MC,Saturation,Uniform,32,94.5684523809524,5.22258739478909
