model.term,df1,df2,F.ratio,p.value
Layer,1,217,9.372,0.00248157314579965
Condition,1,217,8782.859,1.62094024021444e-177
Duplication,3,217,135.545,1.72067293338095e-49
Session,1,217,2477.9,1.104784394652e-120
Layer:Condition,1,217,23.86,2.0099107277373e-06
Layer:Duplication,3,217,6.675,0.000248822919398832
Layer:Session,1,217,3.057,0.0817802288318388
Condition:Duplication,3,217,116.015,7.45693304645404e-45
Condition:Session,1,217,2195.971,1.78835066827956e-115
Duplication:Session,3,217,3.636,0.0136765718931096
Layer:Condition:Duplication,3,217,2.746,0.0438845293490573
Layer:Condition:Session,1,217,0.022,0.882725305387403
Layer:Duplication:Session,3,217,2.702,0.0465168253140417
Condition:Duplication:Session,3,217,4.534,0.0041765205711525
Layer:Condition:Duplication:Session,3,217,6.094,0.000533449943942244
