contrast,Condition,Layer,estimate,SE,df,t.ratio,p.value
Duplication8 - Duplication4,Homogeneous,GC,0.784970238095192,0.721377267425607,216.999999999997,1.08815494130627,0.573768055897637
Duplication16 - Duplication8,Homogeneous,GC,0.24925595238095,0.721377267425606,217,0.345527872357935,0.973031441897109
Duplication32 - Duplication16,Homogeneous,GC,0.0223214285713437,0.721377267425606,217,0.0309427945393992,0.999978661939374
Duplication8 - Duplication4,Uniform,GC,11.4955357142862,0.721377267425606,217.000000000004,15.9355391878518,0
Duplication16 - Duplication8,Uniform,GC,2.34375000000004,0.721377267425605,217.000000000004,3.24899342664932,0.00374617185857606
Duplication32 - Duplication16,Uniform,GC,0.0372023809523958,0.721377267425606,217.000000000004,0.0515713242325485,0.999901361343554
Duplication8 - Duplication4,Homogeneous,MC,-0.282738095238067,0.721377267425606,217.000000000004,-0.391942064167174,0.961684572578499
Duplication16 - Duplication8,Homogeneous,MC,0.119047619047606,0.721377267425606,217,0.165028237544071,0.996833812732069
Duplication32 - Duplication16,Homogeneous,MC,0.193452380952393,0.721377267425606,217.000000000004,0.268170886009162,0.986902016903146
Duplication8 - Duplication4,Uniform,MC,6.95684523809522,0.721377267425605,217.000000000007,9.64383763148271,0
Duplication16 - Duplication8,Uniform,MC,4.12946428571429,0.721377267425604,217.000000000004,5.72441698981062,7.73102302176198e-08
Duplication32 - Duplication16,Uniform,MC,-1.74851190476191,0.721377267425606,217.000000000004,-2.42385223892882,0.0444542911902797
