model.term,df1,df2,F.ratio,p.value
Layer,1,217,370.984,7.2740467019666e-49
Condition,1,217,4267.36,1.09714559296295e-144
Duplication,3,217,4.266,0.00595691155431508
Session,1,217,330.909,1.57558229328827e-45
Layer:Condition,1,217,9.739,0.00204911643130945
Layer:Duplication,3,217,1.185,0.316501385210002
Layer:Session,1,217,2.214,0.138248572998543
Condition:Duplication,3,217,2.407,0.068173022049192
Condition:Session,1,217,355.523,1.32062802128325e-47
Duplication:Session,3,217,0.753,0.521798402842639
Layer:Condition:Duplication,3,217,2.518,0.0590665233243816
Layer:Condition:Session,1,217,0.578,0.448106898965794
Layer:Duplication:Session,3,217,0.208,0.890611339459908
Condition:Duplication:Session,3,217,0.79,0.500701069530802
Layer:Condition:Duplication:Session,3,217,0.16,0.923459566154531
