contrast,Condition,Layer,estimate,SE,df,t.ratio,p.value
Duplication8 - Duplication4,Homogeneous,GC,-0.326397409527693,0.429024556769882,216.999999999994,-0.760789573410746,0.7926903789741
Duplication16 - Duplication8,Homogeneous,GC,-0.0342913787171008,0.429024556769882,217,-0.0799287084526814,0.99963386672526
Duplication32 - Duplication16,Homogeneous,GC,0.0239208028480601,0.429024556769882,217,0.0557562556049457,0.999875391148996
Duplication8 - Duplication4,Uniform,GC,0.0786882746379728,0.429024556769882,217,0.183412052751515,0.995676107799775
Duplication16 - Duplication8,Uniform,GC,-0.75547957450115,0.429024556769882,217,-1.76092385058129,0.198483619664834
Duplication32 - Duplication16,Uniform,GC,0.58799008698926,0.429024556769882,217,1.37052781177895,0.390853772216211
Duplication8 - Duplication4,Homogeneous,MC,-1.31408737577554e-06,0.429024556769882,216.999999999997,-3.06296540615129e-06,1
Duplication16 - Duplication8,Homogeneous,MC,1.31408738776595e-06,0.429024556769882,216.999999999997,3.06296543409937e-06,1
Duplication32 - Duplication16,Homogeneous,MC,1.72084568816899e-15,0.429024556769882,217,4.01106570944379e-15,1
Duplication8 - Duplication4,Uniform,MC,-1.29877188553563,0.429024556769882,216.999999999997,-3.02726700614543,0.00768344812378663
Duplication16 - Duplication8,Uniform,MC,-0.486511569626742,0.429024556769883,217,-1.13399469086264,0.542646179779179
Duplication32 - Duplication16,Uniform,MC,-0.221683331462867,0.429024556769883,217,-0.516714784654557,0.919446876614183
